Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GRASP,1,11.65,65.04,7,84.55,90.84
embraer_3153,GRASP,2,7.28,59.66,4,75.81,96.94
embraer_3153,GRASP,3,2.75,31.42,4,39.52,50.86
