Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GRASP,1,12.48,66.65,6,85.23,90.18
embraer_3153,GRASP,2,4.99,49.31,5,63.95,81.90
embraer_3153,GRASP,3,1.21,46.45,4,61.85,79.12
