Todos os testes foram feitos sem a possibilidade de pular peças,
a partir da primeira peça que não for possivel posicionar o teste é finalizado.
_________________________________________________________________________________________________________________________________________________
VARREDURA NORMAL SIMPLES - PERCORRE O TECIDO EM APENAS UM SENTIDO, DA ESQUERDA PARA A DIREITA, POSSUINDO APENAS UM PONTO DE PREENCHIMENTO, AO POSICIONAR UMA PEÇA O PONTO VOLTA PARA O INICIO


Varredura Normal Simples - Pequenas:
1,47.9,201
2,49.1,170
3,44.5,218
4,46.1,212
5,52.4,291
6,35.8,201
7,41.1,223
8,48.7,213
9,37.8,202
10,44.4,232

Média Preenchimento = 44.8%, Desvio Padrão Preenchimento = 5.0%
Média Tempo = 3min 36s, Desvio Padrão Tempo = 29s

-------------------------------------------------------------------------------------------------------------------------------------------------------------------
CONCLUSÕES:
    - O tempo para preencher o ambiente esta totalmente relacionado ao numero de peças a serem posicionadas, que 
por sua vez esta relacionada ao tamanho das peças, ou seja, preencher com peças pequenas implica em um maior tempo
de preenchimento e preencher com peças grandes implica em um menor tempo. O tempo aumenta exponencialmente em relação
ao numero de peças.

    - A demora para posicionar todas as peças esta relacionado com a meneira de verificar se aquela peça cabe naquela
posição, com o desenvolvimento de uma verificação mais eficiente o tempo diminuirá.

    - O desperdicio é muito mais alto nas bordas contrarias ao inicio do sentido do preenchimento, 
principlamente quando a borda se encontra nas fronteiras do tecido, isso garante outras duas afirmações: 
  Com a varredura em cada grid, cada grid tera sua borda, logo o desperdicio aumentará.
  Com a varredura dupla, a borda se encontra no meio do tecido, e possui um comportamento nao linear e suportando
mais peças, diminuindo o desperdicio.
