Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GRASP,1,13.40,65.01,7,82.61,88.73
embraer_3153,GRASP,2,3.57,63.38,5,86.78,97.25
embraer_3153,GRASP,3,1.42,29.71,3,35.29,45.40
