Dataset,Algoritmo,Ciclo,Tempo(s),Área(%),Peças,Fecho(%),Box(%)
embraer_3153,GRASP,1,21.32,45.45,12,58.46,60.16
embraer_3153,GRASP,1,1.41,30.11,4,36.25,44.37
embraer_3153,GRASP,2,0.01,4.81,1,4.81,5.80
embraer_3086,GRASP,1,31.88,37.71,13,51.02,57.27
